Source,Target,network,Type
help,mission,2,Undirected
help,thrive,2,Undirected
help,thousand,2,Undirected
help,advanc,both,Undirected
help,facilit,both,Undirected
help,provid,both,Undirected
help,gift,1,Undirected
help,mention,1,Undirected
help,contribut,2,Undirected
help,organ,2,Undirected
help,support,2,Undirected
help,do,2,Undirected
indianapoli,provid,2,Undirected
indianapoli,includ,2,Undirected
indianapoli,help,2,Undirected
indianapoli,plant,2,Undirected
indianapoli,make,1,Undirected
indianapoli,beauti,both,Undirected
organ,list,2,Undirected
organ,mission,2,Undirected
organ,manag,both,Undirected
organ,join,both,Undirected
organ,plant,2,Undirected
organ,make,1,Undirected
support,back,2,Undirected
support,mani,2,Undirected
support,proud,2,Undirected
support,believ,2,Undirected
support,check,2,Undirected
support,give,2,Undirected
support,advanc,both,Undirected
support,provid,1,Undirected
support,show,1,Undirected
support,busi,1,Undirected
support,resourc,1,Undirected
support,help,1,Undirected
support,continu,1,Undirected
keep,save,2,Undirected
keep,mark,2,Undirected
keep,check,2,Undirected
keep,live,2,Undirected
keep,rais,1,Undirected
keep,resourc,1,Undirected
keep,help,both,Undirected
keep,indianapoli,both,Undirected
keep,support,both,Undirected
keep,have,2,Undirected
keep,continu,both,Undirected
keep,make,both,Undirected
do,manag,both,Undirected
do,facilit,both,Undirected
do,provid,2,Undirected
do,organ,1,Undirected
do,support,1,Undirected
do,work,1,Undirected
do,make,1,Undirected
year,2000,2,Undirected
year,keep,1,Undirected
year,1998,1,Undirected
year,do,1,Undirected
bad,year,1,Undirected
poor,elder,1,Undirected
paint,home,both,Undirected
home,return,1,Undirected
home,poor,1,Undirected
home,50,1,Undirected
plant,clear,2,Undirected
plant,much,2,Undirected
plant,organ,1,Undirected
plant,paint,2,Undirected
plant,tree,both,Undirected
plant,work,1,Undirected
up,pound,1,Undirected
pick,pound,1,Undirected
"24,",volunt,1,Undirected
tree,home,1,Undirected
tree,200,1,Undirected
tree,"1,",1,Undirected
pound,million,1,Undirected
pound,2,1,Undirected
lot,accomplish,2,Undirected
lot,provid,1,Undirected
lot,much,both,Undirected
lot,sit,1,Undirected
vacant,lot,1,Undirected
litter,debri,2,Undirected
litter,tree,1,Undirected
litter,pound,1,Undirected
litter,loiter,1,Undirected
where,long,1,Undirected
vision,make,1,Undirected
volunt,"15,",2,Undirected
volunt,much,2,Undirected
volunt,pick,1,Undirected
volunt,000,2,Undirected
volunt,work,1,Undirected
garden,playground,1,Undirected
garden,today,1,Undirected
long,list,2,Undirected
long,litter,1,Undirected
long,sit,1,Undirected
girl,long,1,Undirected
side,rais,1,Undirected
walk,pound,1,Undirected
walk,today,1,Undirected
walk,girl,1,Undirected
walk,side,1,Undirected
northw,walk,1,Undirected
near,northw,1,Undirected
fast,keep,1,Undirected
neighborhood,local,1,Undirected
neighborhood,litter,2,Undirected
neighborhood,restaur,1,Undirected
restaur,food,1,Undirected
restaur,fast,1,Undirected
success,stori,1,Undirected
drive-through,traffic,1,Undirected
veri,$250,1,Undirected
veri,success,1,Undirected
veri,drive-through,1,Undirected
traffic,restaur,1,Undirected
traffic,drug,1,Undirected
have,list,2,Undirected
have,involv,2,Undirected
have,individu,1,Undirected
have,keep,1,Undirected
have,litter,both,Undirected
have,traffic,1,Undirected
have,make,1,Undirected
alley,have,1,Undirected
communiti,impriv,2,Undirected
communiti,give,2,Undirected
communiti,good,2,Undirected
communiti,support,2,Undirected
communiti,shepherd,1,Undirected
communiti,vision,1,Undirected
communiti,000,1,Undirected
communiti,volunt,1,Undirected
communiti,garden,1,Undirected
communiti,work,1,Undirected
linear,communiti,1,Undirected
linear,park,1,Undirected
elimin,alley,1,Undirected
elimin,make,1,Undirected
park,lot,1,Undirected
park,dedic,1,Undirected
work,bank,2,Undirected
work,mission,2,Undirected
work,opportun,2,Undirected
work,peopl,2,Undirected
work,manag,both,Undirected
work,school,1,Undirected
work,limit,1,Undirected
work,help,both,Undirected
work,plant,2,Undirected
work,volunt,2,Undirected
work,continu,1,Undirected
work,make,both,Undirected
work,creat,2,Undirected
church,work,1,Undirected
church,creat,1,Undirected
inner,church,1,Undirected
dear,good,2,Undirected
dear,jo,2,Undirected
dear,septemb,2,Undirected
dear,near,1,Undirected
dear,zip,1,Undirected
dear,address,2,Undirected
dear,citi,2,Undirected
dear,st,2,Undirected
name,rememb,2,Undirected
name,list,2,Undirected
name,indic,1,Undirected
name,rais,1,Undirected
name,limit,1,Undirected
name,mention,1,Undirected
name,plant,both,Undirected
name,make,both,Undirected
continu,impriv,2,Undirected
1999,juli,2,Undirected
1999,continu,1,Undirected
1999,budget,1,Undirected
1999,address,both,Undirected
make,clear,2,Undirected
make,accomplish,2,Undirected
make,mark,2,Undirected
make,give,2,Undirected
make,live,2,Undirected
make,return,1,Undirected
make,facilit,both,Undirected
make,date,1,Undirected
make,donat,1,Undirected
make,like,1,Undirected
make,america,1,Undirected
make,print,1,Undirected
make,organ,2,Undirected
make,do,2,Undirected
make,have,2,Undirected
make,communiti,2,Undirected
beauti,enjoy,2,Undirected
beauti,provid,2,Undirected
beauti,gift,2,Undirected
beauti,much,1,Undirected
beauti,help,2,Undirected
beauti,organ,2,Undirected
beauti,support,2,Undirected
beauti,plant,2,Undirected
address,place,2,Undirected
address,name,both,Undirected
25,citi,1,Undirected
creat,clear,2,Undirected
creat,give,2,Undirected
creat,presenc,2,Undirected
creat,want,2,Undirected
creat,parks/garden,2,Undirected
creat,return,1,Undirected
creat,rais,1,Undirected
creat,print,1,Undirected
creat,help,2,Undirected
creat,organ,both,Undirected
creat,paint,both,Undirected
creat,plant,2,Undirected
creat,communiti,2,Undirected
creat,elimin,1,Undirected
creat,park,1,Undirected
creat,work,1,Undirected
creat,make,both,Undirected
citi,today,2,Undirected
citi,make,1,Undirected
citi,beauti,both,Undirected
citi,address,1,Undirected
citi,creat,2,Undirected
st,zip,2,Undirected
st,creat,1,Undirected
februari,citi,1,Undirected
februari,st,1,Undirected
