Source,Target,network,Type
opportun,hear,both,Undirected
opportun,invest,2,Undirected
educ,opportun,1,Undirected
educ,outlet,1,Undirected
arena,talent,1,Undirected
music,year,1,Undirected
cultur,heritag,1,Undirected
cultur,splendor,1,Undirected
provid,yield,2,Undirected
provid,equip,2,Undirected
provid,step,2,Undirected
provid,give,2,Undirected
provid,serv,2,Undirected
provid,parent,2,Undirected
provid,leader,2,Undirected
provid,train,2,Undirected
provid,help,2,Undirected
provid,connect,1,Undirected
provid,summer,1,Undirected
provid,arena,1,Undirected
provid,music,1,Undirected
provid,outlet,1,Undirected
provid,child,1,Undirected
provid,entertain,1,Undirected
provid,fund,2,Undirected
provid,support,2,Undirected
explain,return,1,Undirected
explain,detail,1,Undirected
explain,state,1,Undirected
enhanc,provid,1,Undirected
enhanc,splendor,1,Undirected
impact,immeasur,1,Undirected
adult,woman,2,Undirected
adult,progress,2,Undirected
adult,volunt,2,Undirected
adult,summer,1,Undirected
unequ,opportun,1,Undirected
child,kid,1,Undirected
child,involv,1,Undirected
child,otherwis,1,Undirected
child,indiana,1,Undirected
child,unequ,1,Undirected
ralli,kid,1,Undirected
ralli,communiti,1,Undirected
ralli,support,1,Undirected
ralli,effort,1,Undirected
invest,equip,2,Undirected
invest,commit,2,Undirected
invest,cover,2,Undirected
invest,appeal,2,Undirected
invest,fund,2,Undirected
invest,sure,2,Undirected
invest,heritag,1,Undirected
agre,look,1,Undirected
program,new,2,Undirected
program,scienc,2,Undirected
program,math,2,Undirected
program,activ,2,Undirected
program,cost,2,Undirected
program,impact,1,Undirected
program,adult,1,Undirected
program,unequ,1,Undirected
program,youth-ori,1,Undirected
program,child,1,Undirected
program,ralli,1,Undirected
program,junior,1,Undirected
program,level,1,Undirected
program,perform,1,Undirected
continu,connect,1,Undirected
continu,invest,1,Undirected
continu,agre,1,Undirected
continu,program,1,Undirected
how,afford,1,Undirected
junior,connect,1,Undirected
entertain,extent,1,Undirected
entertain,play,1,Undirected
entertain,audienc,1,Undirected
entertain,perform,1,Undirected
civic,junior,1,Undirected
indianapoli,entertain,1,Undirected
indianapoli,civic,1,Undirected
indianapoli,theatr,1,Undirected
indianapoli,effort,1,Undirected
bubba,tarkington,1,Undirected
truste,bubba,1,Undirected
truste,theatr,1,Undirected
board,provid,1,Undirected
board,card,1,Undirected
board,truste,1,Undirected
member,pledg,1,Undirected
member,board,1,Undirected
member,believ,1,Undirected
fund,store,2,Undirected
fund,commit,2,Undirected
fund,campaign,2,Undirected
fund,provid,1,Undirected
fund,invest,1,Undirected
fund,support,1,Undirected
afford,provid,1,Undirected
afford,continu,1,Undirected
believ,support,1,Undirected
futur,fund,1,Undirected
regard,look,1,Undirected
regard,detail,1,Undirected
regard,involv,1,Undirected
regard,believ,1,Undirected
level,extent,1,Undirected
level,excel,1,Undirected
level,state,1,Undirected
current,level,1,Undirected
current,face,1,Undirected
support,step,2,Undirected
support,give,2,Undirected
support,activ,2,Undirected
support,provid,1,Undirected
support,mission,1,Undirected
support,join,1,Undirected
support,invest,1,Undirected
support,agre,1,Undirected
support,fund,2,Undirected
support,effort,1,Undirected
effort,card,1,Undirected
effort,worthi,1,Undirected
effort,explain,1,Undirected
effort,enhanc,1,Undirected
art,perform,1,Undirected
art,exposur,1,Undirected
art,support,1,Undirected
mani,effort,1,Undirected
uncertainti,organ,1,Undirected
organ,mission,1,Undirected
organ,join,1,Undirected
organ,art,1,Undirected
organ,mani,1,Undirected
face,look,1,Undirected
face,afford,1,Undirected
face,dilemma,1,Undirected
face,believ,1,Undirected
face,futur,1,Undirected
face,regard,1,Undirected
awar,organ,1,Undirected
zip,st,1,Undirected
sure,yield,2,Undirected
sure,certain,1,Undirected
sure,face,1,Undirected
sure,awar,1,Undirected
talent,except,1,Undirected
septemb,sure,1,Undirected
name,make,2,Undirected
name,appeal,2,Undirected
citi,state,1,Undirected
citi,heritag,1,Undirected
citi,talent,1,Undirected
citi,splendor,1,Undirected
citi,septemb,1,Undirected
citi,address,1,Undirected
citi,name,1,Undirected
citi,1995,1,Undirected
1,citi,1,Undirected
